policy_w,driver_w,cyclist_w,Traj 0,Traj 1,Traj 2,Traj 3,best_traj_label
0.52,0.14,0.34,0.24508695731266322,0.2419958541771555,0.23587121620059212,0.24431695780893561,Traj 0
0.52,0.16,0.32,0.2884482003661374,0.28483759153850213,0.2776667582039628,0.28709903383912516,Traj 0
0.52,0.18,0.3,0.3329155537047664,0.3287792612834428,0.3205452055046213,0.33085799465980703,Traj 0
0.52,0.2,0.28,0.37794468371159423,0.3732833075895423,0.36398248551517265,0.37505263224731855,Traj 0
0.52,0.22,0.26,0.42292212492746845,0.41774369265771527,0.40738746803248016,0.41907641627969405,Traj 0
0.52,0.24,0.24,0.4672050506337779,0.4615251637188946,0.45014023568919576,0.46229717178307234,Traj 0
0.52,0.26,0.22,0.4316850477567113,0.4264738832297056,0.4160049024307372,0.4265533096436079,Traj 0
0.52,0.28,0.2,0.3937706255414286,0.38905013457729354,0.3795456735252413,0.3885559897173054,Traj 0
0.52,0.3,0.18,0.35404737903417893,0.3498321526365582,0.3413261848696276,0.3488885545142891,Traj 0
0.52,0.32,0.16,0.31312156906425886,0.30941879748827467,0.30193048165369235,0.3081513870640961,Traj 0
0.52,0.34,0.14,0.27157558342015414,0.2683855369821762,0.2619200588332715,0.26691816480591707,Traj 0
0.52,0.36,0.12,0.22993899186361394,0.22725582059672408,0.22180589520287922,0.2257077532531951,Traj 0
0.52,0.38,0.1,0.18867590288514555,0.1864885539554571,0.18203618691860599,0.1849722771030153,Traj 0
0.52,0.4,0.08,0.14818442713584346,0.14647753655614662,0.14299575429537223,0.14509711067148465,Traj 0
0.52,0.42,0.06,0.1088030100584098,0.1075576916374479,0.1050120821575751,0.10640756104541266,Traj 0
0.52,0.44,0.04,0.07081951960311171,0.0700140242087804,0.06836403019164457,0.06917817104709602,Traj 0
0.52,0.46,0.02,0.03448058869630505,0.034090836246345534,0.03329080178212808,0.03364218512140795,Traj 0
0.52,0.48,0.0,0.0,0.0,0.0,0.0,"Traj 0, Traj 1, Traj 2, and Traj 3"
0.54,0.0,0.46,0.0,0.0,0.0,0.0,"Traj 0, Traj 1, Traj 2, and Traj 3"
0.54,0.02,0.44,0.027656237351284342,0.02727892178130978,0.02653881528758335,0.02788250217750034,Traj 3
0.54,0.04,0.42,0.05787671457320453,0.05709356893635856,0.055553806717410566,0.05824905062622793,Traj 3
0.54,0.06,0.4,0.09058471759271568,0.08936889082915035,0.08697284155619155,0.0910126576450917,Traj 3
0.54,0.08,0.38,0.12566227731681953,0.12398907035236778,0.12068402043758572,0.12604590484681585,Traj 3
0.54,0.1,0.36,0.1629406147244956,0.16078807699602898,0.1565264547438507,0.16317166008327755,Traj 3
0.54,0.12,0.34,0.20218996779772047,0.19953960517623912,0.19428043876103895,0.20215324954060673,Traj 0
0.54,0.14,0.32,0.24311024103175274,0.23994781973967957,0.23365840113393507,0.2426855245272449,Traj 0
0.54,0.16,0.3,0.28532497364382325,0.28164137344969975,0.27429903747240025,0.2843892966248123,Traj 0
0.54,0.18,0.28,0.3283821041780902,0.3241741320998579,0.31576797425307124,0.3268125629929295,Traj 0
0.54,0.2,0.26,0.37176515074975275,0.3670361850511985,0.35756845607985943,0.3694420466555992,Traj 0
0.54,0.22,0.24,0.41491673290581904,0.4096770493955223,0.3991639248853804,0.4117268605636574,Traj 0
0.54,0.24,0.22,0.41916642291881706,0.4139108654872888,0.4033430584477265,0.41535287435791796,Traj 0
0.54,0.26,0.2,0.38330651991241704,0.3785344435906335,0.36891820702065586,0.37928962698745294,Traj 0
0.54,0.28,0.18,0.345550688869226,0.3412785867579302,0.3326515135891771,0.3414615196762599,Traj 0
0.54,0.3,0.16,0.3064300987455452,0.302667664308825,0.2950537599063544,0.3023970747249499,Traj 0
0.54,0.32,0.14,0.2664775908492168,0.26322788519775353,0.2566377891802541,0.2626235276555396,Traj 0
0.54,0.34,0.12,0.22619924659319685,0.22345920180683798,0.21789109801265732,0.22263897340196406,Traj 0
0.54,0.36,0.1,0.18605664592119706,0.18381776258698543,0.17925869674430303,0.18289522762148155,Traj 0
0.54,0.38,0.08,0.14645935053669204,0.14470845999976145,0.1411358054915326,0.14379084015853416,Traj 0
0.54,0.4,0.06,0.10776491818299834,0.10648491799735355,0.10386780393582136,0.10567152550086298,Traj 0
0.54,0.42,0.04,0.07028335630952193,0.06945386798578186,0.06775446434600575,0.06883491781624433,Traj 0
0.54,0.44,0.02,0.03428354055006841,0.03388146993004718,0.03305608716886672,0.033537195283124176,Traj 0
0.54,0.46,-0.0,0.0,0.0,0.0,0.0,"Traj 0, Traj 1, Traj 2, and Traj 3"
0.56,0.0,0.44,0.0,0.0,0.0,0.0,"Traj 0, Traj 1, Traj 2, and Traj 3"
0.56,0.02,0.42,0.027726007492647232,0.027336515397971297,0.026569383088391938,0.027989720471165602,Traj 3
0.56,0.04,0.4,0.05790352387463946,0.05709675491373977,0.05550421082219062,0.058353440639848785,Traj 3
0.56,0.06,0.38,0.09043075768761998,0.08918094973968033,0.08670838144579839,0.09097941960029973,Traj 3
0.56,0.08,0.36,0.12516298010785237,0.12344691079387195,0.12004443737769381,0.12571387521156258,Traj 3
0.56,0.1,0.34,0.16190469202141494,0.15970228311675824,0.15532600373032027,0.1623534208720793,Traj 3
0.56,0.12,0.32,0.20040235290072672,0.1976973507697463,0.19231075689760352,0.2006381210703857,Traj 3
0.56,0.14,0.3,0.2403392442321151,0.23711994459855623,0.23069543450738586,0.24024672755509346,Traj 0
0.56,0.16,0.28,0.28133462569960926,0.2775945841091919,0.27011496309641586,0.2807962239277859,Traj 0
0.56,0.18,0.26,0.32294952378161623,0.31868816532413863,0.31014795792949396,0.32184796361742835,Traj 0
0.56,0.2,0.24,0.36470077572197673,0.359923800737906,0.3503301647266491,0.36292194936912997,Traj 0
0.56,0.22,0.22,0.4060830416738133,0.40080253304017166,0.39017557985270074,0.40351889104387695,Traj 0
0.56,0.24,0.2,0.37216315602631755,0.3673583067180519,0.35766864915480184,0.36928916529283196,Traj 0
0.56,0.26,0.18,0.3363022951058814,0.3319910598716095,0.32327903681310477,0.3332411082621682,Traj 0
0.56,0.28,0.16,0.29896508757055823,0.29515919069136504,0.28745271119079246,0.2958392735967539,Traj 0
0.56,0.3,0.14,0.26063306360330524,0.25733796020777816,0.2506523210998036,0.2575622655715372,Traj 0
0.56,0.32,0.12,0.22178001326925648,0.21899515889122617,0.21333348976924987,0.21887843769306142,Traj 0
0.56,0.34,0.1,0.18285332580127356,0.18057266719804796,0.17592683302538323,0.18022767401156728,Traj 0
0.56,0.36,0.08,0.14426270515028322,0.1424752923900893,0.13882705486562114,0.14201056185426214,Traj 0
0.56,0.38,0.06,0.10637555850583795,0.10506619174032202,0.10238845506070436,0.10458419254532886,Traj 0
0.56,0.4,0.04,0.06951728668039531,0.0686671366833693,0.06692515347405757,0.06826279026491305,Traj 0
0.56,0.42,0.02,0.03397455702212884,0.03356172464081116,0.03271418964481576,0.03332124505736403,Traj 0
0.56,0.44,-0.0,0.0,0.0,0.0,0.0,"Traj 0, Traj 1, Traj 2, and Traj 3"
0.58,0.0,0.42,0.0,0.0,0.0,0.0,"Traj 0, Traj 1, Traj 2, and Traj 3"
0.58,0.02,0.4,0.02770083608030266,0.027300760018449336,0.026509808900005954,0.028000243832545627,Traj 3
0.58,0.04,0.38,0.05773151586351826,0.056904518317854515,0.05526605871644801,0.05825538984924116,Traj 3
0.58,0.06,0.36,0.08996746509104321,0.08868906334721251,0.08615092043083183,0.09063122485430207,Traj 3
0.58,0.08,0.34,0.12424110837934198,0.1224897068715987,0.1190051746319839,0.12495149146904982,Traj 3
0.58,0.1,0.32,0.16033605670301054,0.15809353336904433,0.153622594599522,0.16099233704694665,Traj 3
0.58,0.12,0.3,0.19798270737206422,0.19523503977556694,0.18974567684657342,0.19847821604023014,Traj 3
0.58,0.14,0.28,0.2368566520644135,0.2335945431509375,0.22706406002148335,0.2370806245692796,Traj 3
0.58,0.16,0.26,0.27658144967235543,0.27280089388748924,0.26521713024388155,0.2764211915216299,Traj 0
0.58,0.18,0.24,0.31673701964127987,0.3124397361776189,0.3038020248500638,0.31608033402425917,Traj 0
0.58,0.2,0.22,0.3568739529521098,0.35206761258866676,0.34238732875519984,0.3556117189539704,Traj 0
0.58,0.22,0.2,0.36048409903049994,0.3556642736424299,0.34593753655742243,0.358692047034254,Traj 0
0.58,0.24,0.18,0.3264476117293144,0.32211405616734856,0.31335139461144296,0.3243658185546498,Traj 0
0.58,0.26,0.16,0.29085985639086254,0.28702596629152466,0.2792584764483418,0.28860412711528866,Traj 0
0.58,0.28,0.14,0.2541539269462531,0.25082720730160524,0.24407415293996115,0.25183938512189236,Traj 0
0.58,0.3,0.12,0.21676802165685558,0.2139501850366523,0.20821910365339344,0.21450663423493052,Traj 0
0.58,0.32,0.1,0.17912816428503914,0.17681544655227724,0.1721027019163077,0.17702655156782973,Traj 0
0.58,0.34,0.08,0.14163563013748715,0.1398192546510764,0.13611089986325606,0.13979322713604841,Traj 0
0.58,0.36,0.06,0.10465954083141908,0.10332625958995062,0.10059906762258927,0.10316712021090044,Traj 0
0.58,0.38,0.04,0.06853396843086115,0.06766662034653784,0.06588916109374052,0.06747249554429821,Traj 0
0.58,0.4,0.02,0.03355835435068799,0.03313639862623537,0.03227007638326973,0.03299812414465971,Traj 0
0.58,0.42,0.0,0.0,0.0,0.0,0.0,"Traj 0, Traj 1, Traj 2, and Traj 3"
0.6,0.0,0.4,0.0,0.0,0.0,0.0,"Traj 0, Traj 1, Traj 2, and Traj 3"
0.6,0.02,0.38,0.02758262127952742,0.027173627283880557,0.026362236298766783,0.027915659478603506,Traj 3
0.6,0.04,0.36,0.05736713724122654,0.05652341936611332,0.054846188481925885,0.057960718364476554,Traj 3
0.6,0.06,0.34,0.08920908133293291,0.08790758227239433,0.08531510367519908,0.08998137066788706,Traj 3
0.6,0.08,0.32,0.12292228175223617,0.12114312961122702,0.1175921059169449,0.1237831132262672,Traj 3
0.6,0.1,0.3,0.15827506847374287,0.15600212527137014,0.1514565197409738,0.15912720149661114,Traj 3
0.6,0.12,0.28,0.19498837201354224,0.1922097895548327,0.1866420011716051,0.19572902352104696,Traj 3
0.6,0.14,0.26,0.2327367778075469,0.2294455191102727,0.2228374985767006,0.23325943638013852,Traj 3
0.6,0.16,0.24,0.2711534808719115,0.26734775427522106,0.25969195359579,0.27134997900072266,Traj 3
0.6,0.18,0.22,0.309839594863799,0.3055231443283981,0.29682318393565665,0.30960237629336584,Traj 0
0.6,0.2,0.2,0.34837740424051766,0.3435596078549694,0.3338305609250325,0.3476018838997663,Traj 0
0.6,0.22,0.18,0.3161013662920627,0.31176152608209323,0.3029809928712633,0.31494518235826596,Traj 0
0.6,0.24,0.16,0.282225231158399,0.2783781481118487,0.2705798826152371,0.28079686080683586,Traj 0
0.6,0.26,0.14,0.24713846719074004,0.24379341367968657,0.23700008061720276,0.24554756191503477,Traj 0
0.6,0.28,0.12,0.21124378970530444,0.20840448817785473,0.20262753457235178,0.20959882781301117,Traj 0
0.6,0.3,0.1,0.1749422193874638,0.1726070191640029,0.16784695046866846,0.17334831384582453,Traj 0
0.6,0.32,0.08,0.13862078704681316,0.1367829960790341,0.1330299731859867,0.13717773649838952,Traj 0
0.6,0.34,0.06,0.10264385414797862,0.10129217200943283,0.09852682260108012,0.10144448242453641,Traj 0
0.6,0.36,0.04,0.06734812266457453,0.06646712268748728,0.06466146231141054,0.06647691383160007,Traj 0
0.6,0.38,0.02,0.03304078671104902,0.0326114047605482,0.031729781290034904,0.03257279519568407,Traj 0
0.6,0.4,0.0,0.0,0.0,0.0,0.0,"Traj 0, Traj 1, Traj 2, and Traj 3"
0.62,0.0,0.38,0.0,0.0,0.0,0.0,"Traj 0, Traj 1, Traj 2, and Traj 3"
0.62,0.02,0.36,0.027374144448203793,0.026957950848542793,0.026129626775261316,0.02773847504026934,Traj 3
0.62,0.04,0.34,0.056818400671647125,0.055961541064046355,0.05425287011424697,0.05747689549541091,Traj 3
0.62,0.06,0.32,0.08817157656853203,0.0868525238352069,0.08421711074262661,0.08904502156101053,Traj 3
0.62,0.08,0.3,0.12123308079621452,0.11943373928713079,0.11583183739095307,0.12223426479173692,Traj 3
0.62,0.1,0.28,0.15576093890309528,0.15346714218488194,0.1488667063360026,0.15679593730260827,Traj 3
0.62,0.12,0.26,0.19147186101120145,0.1886738509508604,0.1830515616251254,0.19244156650087152,Traj 3
0.62,0.14,0.24,0.22804406716087589,0.22473691547845467,0.21807909529430589,0.22884596145489947,Traj 3
0.62,0.16,0.22,0.2651233222326849,0.26130725117070414,0.2536105849500595,0.26565345554942127,Traj 3
0.62,0.18,0.2,0.3023321379236198,0.298012699482446,0.2892846735482107,0.30248725226241535,Traj 3
0.62,0.2,0.18,0.30535329876964157,0.30102257534788085,0.2922556748801287,0.3050650334344183,Traj 0
0.62,0.22,0.16,0.2731515630441365,0.26930550399200154,0.26150553505680046,0.27250348739572827,Traj 0
0.62,0.24,0.14,0.23967048442415986,0.23631990443725592,0.22951248230517482,0.23876610839398318,Traj 0
0.62,0.26,0.12,0.20527923848865573,0.20242965355536632,0.19662969895926577,0.2042226001863126,Traj 0
